------------------------------------------------------------------------------------
Date: 12/4/2023 -- 22:59:45 (uptime: 0d, 00h 00m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 43
app_layer.tx.dns_udp                          | Total                     | 86
app_layer.flow.krb5_udp                       | Total                     | 2
app_layer.tx.krb5_udp                         | Total                     | 4
app_layer.flow.failed_udp                     | Total                     | 15
flow.end.state.new                            | Total                     | 11
flow.end.state.established                    | Total                     | 49
flow.end.state.closed                         | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 62
flow.recycler.queue_max                       | Total                     | 25
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 917504
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 12/6/2023 -- 23:53:41 (uptime: 0d, 00h 00m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1428
decoder.bytes                                 | Total                     | 273658
decoder.ipv4                                  | Total                     | 1428
decoder.raw                                   | Total                     | 1428
decoder.tcp                                   | Total                     | 1003
tcp.syn                                       | Total                     | 42
tcp.synack                                    | Total                     | 42
tcp.rst                                       | Total                     | 48
decoder.udp                                   | Total                     | 423
decoder.icmpv4                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 191
decoder.max_pkt_size                          | Total                     | 1624
flow.total                                    | Total                     | 146
flow.tcp                                      | Total                     | 37
flow.udp                                      | Total                     | 109
flow.tcp_reuse                                | Total                     | 15
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
flow.wrk.flows_evicted_needs_work             | Total                     | 5
flow.wrk.flows_evicted_pkt_inject             | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 24
flow.wrk.flows_injected                       | Total                     | 4
